,company_name,company_address,company_brand,company_halal_status,company_info_url,state,category
23,PHYTO BIZNET SDN. BHD.,"BLOCK 5-2, UTM-MTDC TECHNOLOGY CENTRE, TECHNOVATION PARK, UNIVERSITI TEKNOLOGI MALAYSIA, 81300 SKUDAI, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20071120-072028&type=C&ty=CO,01,FM
24,PHYTO HERBAL INDUSTRIES MANUFACTURING SDN BHD,"NO. 38 & 40, JALAN ISTIMEWA 5, TAMAN PERINDUSTRIAN CEMERLANG, 81800 ULU TIRAM, JOHOR BAHRU, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20070802-174206&type=C&ty=CO,01,FM
25,SYARIKAT WEN KEN DRUG SDN BHD,"24, JALAN LAMBAK TAMAN JOHOR 81200 JOHOR BAHRU, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20050727-181401&type=C&ty=CO,01,FM
26,IV SYNERGY SDN.BHD.,NO 349 JALAN BANDAR SENAWANG 1 70450 SEREMBAN NEGERI SEMBILAN ,,,directory/slm_viewdetail.php?comp_code=COMP-20210116-113929&type=C&ty=CO,01,KO
27,JACQUES COSMETICS (MALAYSIA) SDN. BHD.,"NO.16, JALAN SS 21/1 DAMANSARA UTAMA, 47400 PETALING JAYA, SELANGOR. Selangor",,,directory/slm_viewdetail.php?comp_code=COMP-20190703-153832&type=C&ty=CO,01,KO
28,KEECOQUENS SDN BHD,"A-26-01,  DAMANSARA FORESTA, PERSIARAN MERANTI,  52200 KEPONG Wilayah Persekutuan",,,directory/slm_viewdetail.php?comp_code=COMP-20200214-073819&type=C&ty=CO,01,KO
29,LAM SOON EDIBLE OILS SDN BHD,"WISMA DLS, NO. 6, JALAN JURUNILAI U1/20, HICOM-GLENMARIE INDUSTRIAL PARK, 40150, SHAH ALAM, SELANGOR. 40150 Selangor",,,directory/slm_viewdetail.php?comp_code=COMP-20050708-183212&type=C&ty=CO,01,KO
30,LIPIDWARE SDN BHD,"TG-06, JALAN MAKLUMAT, MTDC-UPM, UNIVERSITI PUTRA MALAYSIA 43400 UPM SERDANG, SELANGOR 43400 Selangor",,,directory/slm_viewdetail.php?comp_code=COMP-20180105-173218&type=C&ty=CO,01,KO
31,MAESTRO LABORATORIES SDN BHD,"LOT 7370, JALAN BAHAGIA, BATU 19 SENGKANG, 84800 BUKIT GAMBIR Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20070129-150852&type=C&ty=CO,01,KO
32,MAGIC IDEAL INDUSTRIES SDN BHD,"NO 34, JALAN PERUSAHAAN 1,  KAWASAN PERINDUSTRIAN PARIT HULU,  84200 BUKIT BAKRI, MUAR, JOHOR ",,,directory/slm_viewdetail.php?comp_code=COMP-20150930-015704&type=C&ty=CO,01,KO
